country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
United Kingdom,2021-09-24,NA,estimate,1.01909617486573,1.01599057819493,0.0308601944695544,0.959348999171393,0.997839613654378,1.01118942624974,1.02580526676296,1.03697503240241,1.06176426319815
United Kingdom,2021-09-25,NA,estimate,1.00859379406041,1.005182008922,0.0342173353817848,0.942637159818244,0.984101661881869,0.999240379583871,1.01688793094448,1.02973396321461,1.05655929292691
United Kingdom,2021-09-26,NA,estimate,1.00108315594732,0.998234396780335,0.0363901590778432,0.933277285920201,0.974343980958389,0.990715660185006,1.01082358248936,1.02445919951829,1.05381227426277
United Kingdom,2021-09-27,NA,estimate,0.997871964485804,0.995758452120443,0.0369251975156931,0.931970197508101,0.971029648074929,0.987593700097398,1.00762105081982,1.02228023000767,1.05308828999333
United Kingdom,2021-09-28,NA,estimate,0.998851084555747,0.997956800834267,0.035889771564096,0.936956485010461,0.97363381577064,0.989457699353116,1.0083678441466,1.02358603229786,1.05448049572967
United Kingdom,2021-09-29,NA,estimate,1.00527075568293,1.00465412421921,0.0337028312490119,0.948628324757007,0.981747736329926,0.996275157407999,1.01360611903784,1.02860392035312,1.05858716165783
United Kingdom,2021-09-30,NA,estimate,1.01620173866056,1.01533343845727,0.0310331376238778,0.963798200455944,0.993958678419787,1.00809633671977,1.02353180250877,1.03727261576909,1.06568733523241
United Kingdom,2021-10-01,NA,estimate,1.02963810105042,1.02918030032113,0.0286689925097337,0.98153825067978,1.00979450832899,1.02251620443565,1.03714722218694,1.04896920343629,1.07578371891645
United Kingdom,2021-10-02,NA,estimate,1.04582223406895,1.04514052143149,0.0272696345993783,0.998984466363606,1.02752243669456,1.03876614204954,1.05239287061752,1.06363328397244,1.08898658349277
United Kingdom,2021-10-03,NA,estimate,1.06178850051485,1.06199578518905,0.0270532176056531,1.0181109715555,1.04446723582581,1.055640400986,1.06812741876985,1.07902976447251,1.10627435346636
United Kingdom,2021-10-04,NA,estimate,1.07705022360872,1.0784563983289,0.027727160780066,1.03454198203902,1.06034026619931,1.0707316953597,1.08339708815977,1.09503986748026,1.12578121744932
United Kingdom,2021-10-05,NA,estimate,1.0908680629592,1.09326387053256,0.0287873783277401,1.050109183954,1.0735923243821,1.08365909564065,1.09778417930921,1.11063212161287,1.14483998717078
United Kingdom,2021-10-06,NA,estimate,1.10235524991626,1.10529131851794,0.0298424632570867,1.0618441001424,1.0838735391648,1.09475392617859,1.11040551917188,1.12342036651975,1.15905363583961
United Kingdom,2021-10-07,NA,estimate,1.11122538629779,1.11362897562772,0.0306979563339676,1.06767634053584,1.09170617145493,1.10364941524283,1.11902978576324,1.13325449921464,1.16784059528394
United Kingdom,2021-10-08,NA,estimate,1.11588811747693,1.11764519363039,0.0312687965604387,1.06880157634241,1.09546272330962,1.10786623279331,1.12423946785273,1.13807693135566,1.17134146774214
United Kingdom,2021-10-09,NA,estimate,1.1161300751761,1.11701817924028,0.0314794670485695,1.06727322378634,1.09515616270014,1.10748886176262,1.12412362249244,1.13752505764021,1.17036230630946
United Kingdom,2021-10-10,NA,estimate,1.11116650176836,1.11173806402107,0.0312446252500537,1.06166843935249,1.08953060625739,1.10309016168268,1.11913875836853,1.13236501968796,1.16384126171123
United Kingdom,2021-10-11,NA,estimate,1.10192146010604,1.1020818746026,0.0305267680965597,1.05247296243605,1.08078460358467,1.09396689830826,1.10943179266029,1.12248006687749,1.15229397955546
United Kingdom,2021-10-12,NA,estimate,1.08795505243049,1.08856610521813,0.0294056199069155,1.04126560222214,1.06866678562117,1.0811729210451,1.09520045559971,1.108225299065,1.13678950555523
United Kingdom,2021-10-13,NA,estimate,1.07146543319691,1.07188369940518,0.0280935420183818,1.02646521655978,1.05281463184893,1.06421531511579,1.07805530721942,1.09062866354079,1.11922959096449
United Kingdom,2021-10-14,NA,estimate,1.05210302042711,1.05283421536564,0.0268693403917725,1.0096807789979,1.03472183549281,1.04542178800154,1.05888068759353,1.0702325396262,1.09782098993596
United Kingdom,2021-10-15,NA,estimate,1.03183675652444,1.0322567400956,0.0259537680420065,0.990588515551872,1.01510985219462,1.02510752711319,1.03826251502509,1.04886792406375,1.07569330050082
United Kingdom,2021-10-16,NA,estimate,1.01061604042187,1.01097376183278,0.0254036623217945,0.969679835444114,0.994068329659074,1.00455816647656,1.01723533667071,1.0276872924717,1.05269155981603
United Kingdom,2021-10-17,NA,estimate,0.990405258536017,0.989750797614539,0.0251110521609909,0.948365295340016,0.973504370315306,0.98326652552762,0.996021709691972,1.00616790626519,1.03074202394109
